City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
444,General Delgado,PY,-27.1667,-56.5167,69.82,59,0,5.53,clear sky
445,Hopelchen,MX,19.7667,-89.85,81.68,63,49,1.21,scattered clouds
446,Yerbogachen,RU,61.2767,108.0108,60.49,93,100,9.55,overcast clouds
447,Caravelas,BR,-17.7125,-39.2481,77.88,58,3,6.04,clear sky
448,Borujerd,IR,33.8973,48.7516,93.87,8,0,14.88,clear sky
449,Daru,PG,-9.0763,143.2092,76.59,88,100,18.48,overcast clouds
450,Udachnyy,RU,66.4167,112.4,54.81,66,100,6.62,overcast clouds
451,Bereznik,RU,62.8551,42.7072,59.67,95,100,9.31,light rain
452,Beboto,TD,8.2668,16.939,84.4,67,68,0.56,light rain
453,Duiwelskloof,ZA,-23.6934,30.14,62.29,56,84,5.82,broken clouds
454,Isangel,VU,-19.55,169.2667,69.85,65,26,16.78,scattered clouds
455,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,43,0,2.3,clear sky
456,Pitea,SE,65.3172,21.4794,60.89,73,100,5.5,overcast clouds
457,Aykhal,RU,66.0,111.5,52.7,83,100,5.32,light rain
458,Barda,AZ,40.3744,47.1267,92.48,15,60,22.28,broken clouds
459,Oktyabrskiy,RU,54.4815,53.471,83.86,21,95,5.32,overcast clouds
460,Sur,OM,22.5667,59.5289,87.8,69,69,1.23,broken clouds
461,Qandala,SO,11.472,49.8728,91.89,55,41,7.7,scattered clouds
462,Todos Santos,MX,23.45,-110.2167,85.01,87,52,5.91,broken clouds
463,Lethem,GY,3.3803,-59.7968,76.8,88,93,4.9,overcast clouds
464,Sittingbourne,GB,51.3413,0.7328,76.37,61,40,18.68,scattered clouds
465,Lastoursville,GA,-0.8143,12.7287,91.33,42,97,0.72,overcast clouds
466,Mawlaik,MM,23.6333,94.4167,78.08,99,100,1.79,overcast clouds
467,Barranca,PE,-10.75,-77.7667,63.16,79,99,8.57,overcast clouds
468,Deputatskiy,RU,69.3,139.9,38.8,87,99,3.33,overcast clouds
469,Ligayan,PH,4.6533,119.4706,83.79,76,80,11.14,broken clouds
470,Sunrise Manor,US,36.2111,-115.0731,87.31,45,1,1.99,clear sky
471,Mujiayingzi,CN,42.1167,118.7833,64.8,93,100,3.38,overcast clouds
472,Ossora,RU,59.2353,163.0719,54.88,86,64,4.52,broken clouds
473,Manokwari,ID,-0.8667,134.0833,79.34,77,100,6.2,overcast clouds
474,Xucheng,CN,20.35,110.1288,80.96,85,97,6.91,light rain
475,Port Hawkesbury,CA,45.6169,-61.3485,79.18,82,77,4.0,broken clouds
476,Caruray,PH,10.3094,119.0128,80.33,82,41,5.03,scattered clouds
477,Broome,US,42.2506,-75.833,68.85,80,1,1.99,clear sky
478,Vao,NC,-22.6667,167.4833,68.25,72,81,20.74,broken clouds
479,Kanigoro,ID,-8.13,112.219,73.09,94,20,6.31,few clouds
480,Pomabamba,PE,-8.8333,-77.4667,51.71,70,67,3.91,broken clouds
481,Kununurra,AU,-15.7667,128.7333,69.78,52,11,4.61,few clouds
482,Cabedelo,BR,-6.9811,-34.8339,83.07,72,79,17.67,broken clouds
483,Thunder Bay,CA,48.4001,-89.3168,73.99,47,21,5.84,few clouds
484,Zaria,NG,11.1113,7.7227,80.6,65,100,3.53,overcast clouds
485,Lavrentiya,RU,65.5833,-171.0,42.71,89,74,3.56,broken clouds
486,Rio Rancho,US,35.2334,-106.6645,70.75,73,1,1.01,clear sky
487,Mahina,PF,-17.5065,-149.489,71.37,78,20,3.44,few clouds
488,Villazon,BO,-22.0866,-65.5942,47.73,18,1,2.17,clear sky
489,Mitsamiouli,KM,-11.3847,43.2844,78.31,71,43,13.09,scattered clouds
490,Garissa,KE,-0.4536,39.6401,88.75,35,46,24.02,scattered clouds
491,Castelldefels,ES,41.2779,1.9703,99.07,62,0,7.0,clear sky
492,Pa Sang,TH,18.5262,98.9394,75.4,96,100,3.76,light rain
493,Iraquara,BR,-12.2486,-41.6194,77.77,42,77,7.85,broken clouds
494,Loreto,MX,22.2667,-101.9667,61.14,73,6,3.71,clear sky
495,Pechea,RO,45.6333,27.8,92.43,19,0,6.02,clear sky
496,Sysert,RU,56.4953,60.8192,73.38,65,100,3.87,overcast clouds
497,Galesong,ID,-5.3166,119.3661,78.82,71,23,8.59,few clouds
498,Ahipara,NZ,-35.1667,173.1667,47.55,74,5,1.01,clear sky
499,Pochutla,MX,15.7432,-96.4661,78.82,82,100,3.38,overcast clouds
500,Puerto Narino,CO,-3.7703,-70.3831,85.01,59,56,1.63,broken clouds
501,Dole,FR,47.0833,5.5,89.01,66,75,11.5,thunderstorm
502,Yumen,CN,40.2833,97.2,86.47,22,44,23.51,scattered clouds
503,Hami,CN,42.8,93.45,90.25,19,100,20.33,overcast clouds
504,Vrangel,RU,42.7297,133.0839,61.84,82,10,3.09,clear sky
505,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,54.34,84,35,8.05,scattered clouds
506,San Patricio,US,28.017,-97.5169,85.89,71,37,4.43,scattered clouds
507,Dwarka,IN,22.2394,68.9678,81.91,76,100,16.6,overcast clouds
508,Sobolevo,RU,54.4299,31.8996,79.18,44,100,13.15,overcast clouds
509,Skelleftea,SE,64.7507,20.9528,64.76,68,40,8.05,scattered clouds
510,Zhezkazgan,KZ,47.8043,67.7144,75.88,25,1,13.73,clear sky
511,Purpe,RU,64.4803,76.6897,60.28,67,100,23.73,overcast clouds
512,Svetlogorsk,BY,52.6333,29.7333,82.47,44,55,9.31,broken clouds
513,Hanyang,CN,32.1371,105.5126,70.2,91,100,1.92,overcast clouds
514,Nhulunbuy,AU,-12.2333,136.7667,75.81,83,0,9.22,clear sky
515,Jinchang,CN,38.4953,102.1739,82.31,29,95,15.55,overcast clouds
516,Angoche,MZ,-16.2325,39.9086,75.33,65,30,14.27,scattered clouds
517,Bonavista,CA,48.6499,-53.1147,71.6,89,68,8.37,broken clouds
518,Huarmey,PE,-10.0681,-78.1522,64.8,79,70,7.87,broken clouds
519,Boralday,KZ,43.3578,76.8594,66.06,55,75,4.47,broken clouds
520,Malakal,SS,9.5334,31.6605,79.56,78,84,8.57,broken clouds
521,Faanui,PF,-16.4833,-151.75,78.4,74,9,9.89,clear sky
522,Lampang,TH,18.3333,99.5,73.78,98,100,2.98,light rain
523,Weligama,LK,5.9667,80.4167,78.66,86,100,10.89,overcast clouds
524,Slave Lake,CA,55.2834,-114.769,62.74,61,100,3.47,overcast clouds
525,Iranduba,BR,-3.2847,-60.1861,84.52,54,96,3.31,overcast clouds
526,Kokkola,FI,63.8385,23.1307,63.93,77,75,3.44,broken clouds
527,Jacksonville Beach,US,30.2947,-81.3931,83.44,89,75,6.91,broken clouds
528,Interlaken,US,36.9513,-121.7338,64.42,97,90,0.0,mist
529,Chaozhou,CN,23.6651,116.6379,79.54,90,63,2.8,broken clouds
530,Aswan,EG,24.0934,32.907,107.58,7,0,19.19,clear sky
531,Esil,KZ,51.9556,66.4042,80.56,27,5,5.28,clear sky
532,Kemi,FI,65.8596,24.8228,64.17,68,0,6.91,clear sky
533,College,US,64.8569,-147.8028,48.58,89,90,3.44,light rain
534,Homer,US,59.6425,-151.5483,53.47,93,1,3.44,clear sky
535,Karakol,KG,42.4907,78.3936,53.46,73,100,10.63,overcast clouds
536,Varhaug,NO,58.6147,5.6457,62.15,77,100,13.73,overcast clouds
537,Hearst,CA,49.6835,-83.6665,67.89,51,100,10.94,overcast clouds
538,Mombetsu,JP,44.3525,143.3525,56.64,88,3,4.21,clear sky
539,Sitka,US,57.0531,-135.33,50.29,92,100,4.21,light rain
540,Gwanda,ZW,-20.9333,29.0,68.32,45,14,11.83,few clouds
541,Pangkalanbuun,ID,-2.6833,111.6167,75.45,96,15,2.98,few clouds
542,Bereda,ES,43.2686,-7.5406,78.15,54,0,6.55,clear sky
543,Urengoy,RU,65.9667,78.3667,60.19,67,87,17.98,overcast clouds
544,Vila Franca Do Campo,PT,37.7167,-25.4333,75.61,84,62,11.41,broken clouds
545,Ciudad Real,ES,39.0,-4.0,107.15,9,21,3.0,few clouds
546,Haines Junction,CA,60.7522,-137.5108,44.62,97,100,3.76,light rain
547,Coahuayana,MX,18.7333,-103.6833,83.68,82,85,4.21,overcast clouds
548,Magalia,US,39.8121,-121.5783,68.16,33,83,5.03,broken clouds
549,Whitehorse,CA,60.7161,-135.0538,45.37,93,90,6.91,light rain
550,Montbrison,FR,45.6667,4.0833,92.57,31,0,7.31,clear sky
551,Basqal,AZ,40.7552,48.391,81.12,25,9,10.85,clear sky
552,Quchan,IR,37.106,58.5095,74.39,18,0,15.97,clear sky
553,Bima,ID,-8.4667,118.7167,72.81,84,6,3.38,clear sky
554,Praia Da Vitoria,PT,38.7333,-27.0667,76.75,85,55,8.28,broken clouds
555,Atlantis,ZA,-33.5667,18.4834,67.19,54,30,5.14,scattered clouds
556,Haapsalu,EE,58.9431,23.5414,63.01,74,52,22.26,moderate rain
557,Sorland,NO,67.667,12.6934,53.67,76,75,12.66,broken clouds
558,Saint-Augustin,CA,51.226,-58.6502,63.28,97,100,2.46,overcast clouds
559,Muros,ES,42.7762,-9.0603,79.84,56,0,15.59,clear sky
560,Brignais,FR,45.6736,4.7548,94.41,43,0,5.75,clear sky
561,Mogadishu,SO,2.0371,45.3438,77.72,81,18,19.57,few clouds
562,Abasolo,MX,20.45,-101.5167,63.34,90,24,3.06,few clouds
563,Qianan,CN,44.9932,124.0581,67.69,77,73,4.21,broken clouds
564,Gat,IL,31.61,34.7642,92.79,41,0,15.68,clear sky
565,Cap Malheureux,MU,-19.9842,57.6142,68.47,64,48,5.99,scattered clouds
566,Ranong,TH,9.9658,98.6348,76.62,91,100,7.05,moderate rain
567,Byron Bay,AU,-28.65,153.6167,64.35,72,92,5.88,overcast clouds
568,Kapoeta,SS,4.7717,33.5903,79.25,61,75,4.97,light rain
569,Vitim,RU,59.4511,112.5578,68.22,60,31,4.21,scattered clouds
570,Denpasar,ID,-8.65,115.2167,78.46,94,20,9.22,few clouds
571,Northam,GB,51.0333,-4.2167,67.19,92,100,15.14,overcast clouds
572,Altea,ES,38.5989,-0.0514,105.64,55,57,10.09,broken clouds
573,Mecca,SA,21.4267,39.8261,100.56,25,97,10.63,overcast clouds
574,Funadhoo,MV,6.15,73.2667,82.29,76,60,17.05,broken clouds
575,Bukene,TZ,-4.2333,32.8833,84.69,21,56,7.02,broken clouds
576,Nago,JP,26.5881,127.9761,82.47,87,2,6.96,clear sky
577,Palembang,ID,-2.9167,104.7458,75.56,95,100,3.47,light rain
578,Bitung,ID,1.4451,125.1824,77.85,84,37,7.83,scattered clouds
579,Chake Chake,TZ,-5.2459,39.7666,78.84,63,31,11.36,scattered clouds
580,Maarianhamina,AX,60.0973,19.9348,62.46,67,40,10.36,scattered clouds
581,Merauke,ID,-8.4667,140.3333,77.49,82,100,17.27,overcast clouds
582,Khasan,RU,42.4308,130.6434,64.8,83,87,6.42,overcast clouds
583,San Policarpo,PH,12.1791,125.5072,81.39,80,31,5.39,scattered clouds
584,Sicamous,CA,50.8331,-118.9856,69.3,48,53,2.33,broken clouds
585,Abashiri,JP,44.0213,144.2697,53.91,88,1,10.69,clear sky
586,Toamasina,MG,-18.1667,49.3833,69.76,69,24,13.09,few clouds
587,Kalmar,SE,56.6616,16.3616,70.14,55,0,17.27,clear sky
588,Banting,MY,2.8167,101.5,75.33,82,100,7.4,heavy intensity rain
589,Kaeo,NZ,-35.1,173.7833,45.86,78,10,3.29,clear sky
590,Dubbo,AU,-32.25,148.6167,44.73,76,0,4.61,clear sky
591,Navrongo,GH,10.8956,-1.0921,87.22,53,79,10.11,broken clouds
592,East Bethel,US,45.3194,-93.2025,73.44,59,1,1.99,clear sky
593,Dezhou,CN,37.4486,116.2925,72.75,81,94,4.09,light rain
594,Le Pradet,FR,43.1066,6.0172,102.79,50,0,11.5,clear sky
595,Huicungo,PE,-7.2833,-76.8,75.74,82,98,0.11,overcast clouds
596,Natchitoches,US,31.7668,-93.1335,78.58,94,1,0.0,clear sky
597,Wilkie,CA,52.4168,-108.7014,63.9,70,82,8.7,broken clouds
598,Altagracia De Orituco,VE,9.8601,-66.3814,76.03,73,98,5.66,overcast clouds
599,Gharghoda,IN,22.1667,83.35,86.68,63,97,2.84,overcast clouds
600,Hoyanger,NO,61.2204,6.0749,58.6,91,100,4.25,light rain
601,Rudnya,RU,54.947,31.0934,76.87,47,100,14.32,overcast clouds
602,Lahan,NP,26.7296,86.4951,81.46,83,100,4.52,overcast clouds
603,Tautira,PF,-17.7333,-149.15,71.62,75,7,9.17,clear sky
604,Ternate,ID,0.8,127.4,80.22,77,52,1.61,broken clouds
605,Brae,GB,60.3964,-1.353,53.51,67,100,11.95,overcast clouds
606,Sikasso,ML,10.9167,-7.0,79.3,78,100,8.52,light rain
607,Nola,IT,40.922,14.5329,101.64,23,0,8.99,clear sky
608,Khakhea,BW,-24.6895,23.494,78.87,25,0,10.98,clear sky
609,Hualmay,PE,-11.0964,-77.6139,63.21,80,99,8.9,overcast clouds
610,Isiro,CD,2.7739,27.616,73.76,81,100,2.13,overcast clouds
611,Egvekinot,RU,66.3167,-179.1667,41.05,70,14,5.57,few clouds
612,Srednekolymsk,RU,67.45,153.6833,42.33,72,86,4.83,overcast clouds
613,Abu Kamal,SY,34.4506,40.9171,101.01,16,0,14.76,clear sky
614,Yuncheng,CN,35.0231,110.9928,75.25,73,98,7.58,overcast clouds
615,Snasa,NO,64.2457,12.3778,55.0,88,100,7.36,overcast clouds
616,Nizhniy Kuranakh,RU,58.8353,125.4869,65.23,77,100,5.1,overcast clouds
617,Staraya Toropa,RU,56.2801,31.6702,70.14,56,85,7.67,light rain
618,Umea,SE,63.8284,20.2597,66.13,59,40,5.75,scattered clouds
619,Sioux Lookout,CA,50.1001,-91.917,73.53,44,19,10.27,few clouds
620,Belen,TR,36.4891,36.2233,87.94,28,0,14.97,clear sky
621,Honiara,SB,-9.4333,159.95,77.2,90,75,6.67,broken clouds
622,Thinadhoo,MV,0.5333,72.9333,83.55,70,13,15.64,few clouds
623,Moses Lake,US,47.1301,-119.2781,73.89,63,1,4.61,smoke
624,Port Lincoln,AU,-34.7333,135.8667,52.83,82,5,7.9,clear sky
625,Manakara,MG,-22.1333,48.0167,66.58,71,19,6.64,few clouds
626,Batagay-Alyta,RU,67.8006,130.4114,47.7,74,100,1.63,light rain
627,Lusaka,ZM,-15.4067,28.2871,68.97,47,28,12.17,scattered clouds
628,Erzin,TR,36.9559,36.2,95.52,35,0,10.0,clear sky
629,Shintomi,JP,32.0785,131.4723,75.81,94,100,3.0,overcast clouds
630,La Libertad,EC,-2.2333,-80.9,69.46,88,90,11.5,overcast clouds
631,Sarahan,IN,31.5167,77.8,62.56,80,1,0.38,clear sky
632,Lander,US,42.833,-108.7307,70.99,44,1,0.0,clear sky
633,Agadir,MA,30.4202,-9.5982,103.32,21,2,10.65,clear sky
634,Muravlenko,RU,63.7898,74.523,58.32,68,99,22.08,overcast clouds
635,Buraydah,SA,26.326,43.975,107.78,8,6,9.06,clear sky
636,Saint-Pierre,RE,-21.3393,55.4781,69.48,68,20,21.85,few clouds
