City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Turinskaya Sloboda,RU,2021-08-04 14:39:52,57.6232,64.3858,71.76,71,63,6.69
68,Paamiut,GL,2021-08-04 14:39:52,61.994,-49.6678,43.93,95,100,8.75
69,Paita,PE,2021-08-04 14:39:53,-5.0892,-81.1144,68.56,74,1,9.75
70,Gaildorf,DE,2021-08-04 14:39:53,49.0003,9.7695,70.72,63,20,3.44
71,Kodiak,US,2021-08-04 14:39:54,57.79,-152.4072,49.51,87,90,4.61
72,Ribeira Brava,PT,2021-08-04 14:39:54,32.65,-17.0667,82.71,69,15,2.64
73,Atambua,ID,2021-08-04 14:39:54,-9.1061,124.8925,70.65,87,44,5.35
74,Nikolskoye,RU,2021-08-04 14:39:54,59.7035,30.7861,66.78,49,95,5.23
75,Kokopo,PG,2021-08-04 14:39:55,-4.352,152.2633,76.69,88,13,6.55
76,Dikson,RU,2021-08-04 14:39:55,73.5069,80.5464,47.53,86,46,3.85
77,Xining,CN,2021-08-04 14:39:55,36.6167,101.7667,59.49,66,81,6.08
78,Srednekolymsk,RU,2021-08-04 14:39:56,67.45,153.6833,37.44,94,100,8.72
79,Bredasdorp,ZA,2021-08-04 14:39:56,-34.5322,20.0403,62.28,72,57,5.75
80,Molo,KE,2021-08-04 14:39:56,-0.2479,35.7374,59.29,76,11,6.26
81,Eureka,US,2021-08-04 14:39:57,40.8021,-124.1637,52.93,99,51,1.23
82,Port Hardy,CA,2021-08-04 14:39:57,50.6996,-127.4199,60.98,94,75,0.0
83,Orlik,RU,2021-08-04 14:39:57,52.5178,99.825,56.75,68,76,2.13
84,Gemlik,TR,2021-08-04 14:39:58,40.4309,29.1597,97.65,32,0,12.5
85,Innisfail,AU,2021-08-04 14:39:58,-17.5333,146.0333,63.64,67,79,6.22
86,Alice Springs,AU,2021-08-04 14:37:15,-23.7,133.8833,42.35,52,0,5.75
87,Daye,CN,2021-08-04 14:39:58,30.0833,114.95,82.13,84,7,3.42
88,Souillac,MU,2021-08-04 14:39:59,-20.5167,57.5167,70.18,73,75,17.27
89,Careiro Da Varzea,BR,2021-08-04 14:39:59,-3.2003,-59.8119,86.63,56,73,2.08
90,Baruun-Urt,MN,2021-08-04 14:39:59,46.6806,113.2792,56.21,88,100,7.18
91,Copalillo,MX,2021-08-04 14:40:00,18.0333,-99.1167,72.91,92,100,1.68
92,Saint-Louis,SN,2021-08-04 14:40:00,16.3333,-15.0,94.14,44,100,7.83
93,Gigmoto,PH,2021-08-04 14:40:00,13.7796,124.39,82.49,81,100,8.14
94,Khani,GE,2021-08-04 14:40:01,41.9563,42.9566,78.37,71,0,5.95
95,Digri,PK,2021-08-04 14:40:01,25.1558,69.1113,89.02,55,100,19.64
96,Codrington,AU,2021-08-04 14:40:01,-38.2667,141.9667,49.87,90,23,12.19
97,Manyana,BW,2021-08-04 14:40:02,-23.4,21.7167,76.44,16,0,4.9
98,Zhezkazgan,KZ,2021-08-04 14:40:02,47.8043,67.7144,86.76,27,49,7.0
99,La Asuncion,VE,2021-08-04 14:40:03,11.0333,-63.8628,91.13,58,2,3.44
100,Castro,BR,2021-08-04 14:40:04,-24.7911,-50.0119,57.7,57,2,8.68
101,Pierre,US,2021-08-04 14:40:04,44.3683,-100.351,72.05,69,1,3.0
102,Basco,PH,2021-08-04 14:40:05,20.4487,121.9702,84.45,82,100,31.41
103,Irbil,IQ,2021-08-04 14:40:05,36.1926,44.0106,109.22,11,40,11.5
104,Torbay,CA,2021-08-04 14:40:05,47.6666,-52.7314,74.28,66,40,24.16
105,Sitka,US,2021-08-04 14:40:06,57.0531,-135.33,60.69,88,90,4.61
106,Jiujiang,CN,2021-08-04 14:40:06,29.7333,115.9833,80.67,92,49,11.07
107,Saldanha,ZA,2021-08-04 14:35:30,-33.0117,17.9442,62.65,87,4,13.8
